# X in mm; Y in mm; U in mm; V in mm; Log. Strain YY
1.583300000000000018e+01; 0.000000000000000000e+00; -4.998406957027929920e-01; 3.000000000000001776e+00; 7.662669908175069600e-02
1.666700000000000159e+01; 0.000000000000000000e+00; -5.403027503917257057e-01; 3.000000000000001776e+00; 7.706907277248083166e-02
1.750000000000000000e+01; 0.000000000000000000e+00; -5.834277610015241589e-01; 3.000000000000001776e+00; 7.759327150137856899e-02
1.833299999999999841e+01; 0.000000000000000000e+00; -6.296126768065389845e-01; 3.000000000000000888e+00; 7.821713943463032281e-02
1.916700000000000159e+01; 0.000000000000000000e+00; -6.793397355166870266e-01; 2.999999999999998668e+00; 7.896285878740438857e-02
2.000000000000000000e+01; 0.000000000000000000e+00; -7.330001750905583702e-01; 2.999999999999998224e+00; 7.985420057337155875e-02
2.083299999999999841e+01; 0.000000000000000000e+00; -7.912747490444859144e-01; 2.999999999999998224e+00; 8.092183012742006076e-02
2.166700000000000159e+01; 0.000000000000000000e+00; -8.550069674277260834e-01; 2.999999999999998224e+00; 8.220174989904881213e-02
2.250000000000000000e+01; 0.000000000000000000e+00; -9.249799617935853258e-01; 2.999999999999998224e+00; 8.372927131078614083e-02
2.333299999999999841e+01; 0.000000000000000000e+00; -1.002404083735569440e+00; 2.999999999999998668e+00; 8.554445277261124581e-02
2.416700000000000159e+01; 0.000000000000000000e+00; -1.088748174050861328e+00; 2.999999999999997335e+00; 8.768477450753590918e-02
2.500000000000000000e+01; 0.000000000000000000e+00; -1.185389536372404073e+00; 2.999999999999996891e+00; 9.016889349477585913e-02
2.583299999999999841e+01; 0.000000000000000000e+00; -1.294194442081056495e+00; 2.999999999999996447e+00; 9.299804104704109675e-02
2.666700000000000159e+01; 0.000000000000000000e+00; -1.417168736618631186e+00; 2.999999999999997335e+00; 9.613150138527248867e-02
2.750000000000000000e+01; 0.000000000000000000e+00; -1.555753461614323818e+00; 2.999999999999997335e+00; 9.943641825172000459e-02
2.833299999999999841e+01; 0.000000000000000000e+00; -1.711304121629630970e+00; 2.999999999999998224e+00; 1.025909141663201990e-01
2.916700000000000159e+01; 0.000000000000000000e+00; -1.883530556527016175e+00; 2.999999999999998224e+00; 1.046981390449373550e-01
3.000000000000000000e+01; 0.000000000000000000e+00; -2.067038360952569320e+00; 2.999999999999997335e+00; 1.036962459408840020e-01
